solexa_080812_HWI-EAS244_309KU_HUEBNER,solexa_080812_HWI-EAS244_.1
solexa_080815_HWI-EAS244_309KUR2_HUEBNER,solexa_080815_HWI-EAS244_.1
solexa_081124_HWI-EAS244_0003_309JV_HUEBNER,solexa_081124_HWI-EAS244_.1
solexa_081215_HWI-EAS244_0004_30953AAXX_HUEBNER,solexa_081215_HWI-EAS244_.1
solexa_081230_HWI-EAS244_30HCW,solexa_081230_HWI-EAS244_.1
solexa_090113_HWI-EAS244_3066D,solexa_090113_HWI-EAS244_.1
solexa_090122_HWI-EAS244_309FL_HUEBNER,solexa_090122_HWI-EAS244_.1
solexa_090216_HWI-EAS244_309U1,solexa_090216_HWI-EAS244_.1
solexa_090227_HWI-EAS244_3067F,solexa_090227_HWI-EAS244_.1
solexa_090303_HWI-EAS244_30H5H,solexa_090303_HWI-EAS244_.1
solexa_090309_HWI-EAS244_30HA_HUEBNER,solexa_090309_HWI-EAS244_.1
solexa_090407_HWI-EAS244_30HCDAAXX,solexa_090407_HWI-EAS244_.1
solexa_090422_HWI-EAS244_30HEY_RAJEWSKY,solexa_090422_HWI-EAS244_.1
solexa_090507_HWI-EAS244_30HL2_HUEBNER,solexa_090507_HWI-EAS244_.1
solexa_090529_HWI-EAS244_30HWE_CHEN-RAJEWSKY,solexa_090529_HWI-EAS244_.1
solexa_090602_HWI-EAS244_30HD7_HUEBNER,solexa_090602_HWI-EAS244_.1
solexa_090608_HWI-EAS244_30GL1_HUEBNER,solexa_090608_HWI-EAS244_.1
solexa_090707_HWI-EAS244_30HFM_CHEN,solexa_090707_HWI-EAS244_.1
solexa_090710_HWI-EAS244_30HD6_CHEN,solexa_090710_HWI-EAS244_.1
solexa_090717_HWI-EAS244_30HCU_CHEN,solexa_090717_HWI-EAS244_.1
solexa_090812_HWI-EAS244_309CP_CHEN,solexa_090812_HWI-EAS244_.1
solexa_090815_HWI-EAS244_30489_CHEN,solexa_090815_HWI-EAS244_.1
solexa_090826_HWI-EAS244_304B9_CHEN,solexa_090826_HWI-EAS244_.1
solexa_090909_HWI-EAS244_3067M_CHEN,solexa_090909_HWI-EAS244_.1
solexa_091001_HWI-EAS244_306AA_CHEN,solexa_091001_HWI-EAS244_.1
solexa_091015_HWI-EAS244_30673_HUEBNER,solexa_091015_HWI-EAS244_.1
solexa_091022_HWI-EAS244_3048A_CHEN-RAJEWSKY,solexa_091022_HWI-EAS244_.1
solexa_091102_HWI-EAS244_30HD9_CHEN,solexa_091102_HWI-EAS244_.1
solexa_091109_HWI-EAS244_3097R_CHEN,solexa_091109_HWI-EAS244_.1
solexa_091113_HWI-EAS244_309DU_CHEN,solexa_091113_HWI-EAS244_.1
solexa_091201_HWUSI-EAS1620_VALIDATE,solexa_091201_HWUSI-EAS16.1
solexa_091202_HWUSI-EAS1621_431H9_VALIDATE,solexa_091202_HWUSI-EAS16.1
solexa_091204_HWI-EAS244_309KK_CHEN,solexa_091204_HWI-EAS244_.1
solexa_091210_HWUSI-EAS1620_30978_HUEBNER,solexa_091210_HWUSI-EAS16.1
solexa_091217_HWUSI-EAS1620_30U2R_HUEBNER,solexa_091217_HWUSI-EAS16.1
solexa_091218_HWI-EAS244_304DL_CHEN,solexa_091218_HWI-EAS244_.1
solexa_100108_HWUSI-EAS1621_6127J_HUEBNER,solexa_100108_HWUSI-EAS16.1
solexa_100114_HWI-EAS244_30W35_CHEN,solexa_100114_HWI-EAS244_.1
solexa_100119_HWI-EAS244_43369_CHEN,solexa_100119_HWI-EAS244_.1
solexa_100122_HWUSI-EAS1621_61BE1_CHEN,solexa_100122_HWUSI-EAS16.1
solexa_100209_HWUSI-EAS1621_4336V_CHEN,solexa_100209_HWUSI-EAS16.1
solexa_100210_HWUSI-EAS1620_431GA,solexa_100210_HWUSI-EAS16.1
solexa_100211_HWUSI-EAS1621_4337P_CHEN,solexa_100211_HWUSI-EAS16.1
solexa_100216_HWUSI-EAS1621_4337F_HUEBNER,solexa_100216_HWUSI-EAS16.1
solexa_100219_HWUSI-EAS1620_61281_CHENRAJEWSKI,solexa_100219_HWUSI-EAS16.1
solexa_100304_HWUSI-EAS1620_61254_CHEN,solexa_100304_HWUSI-EAS16.2
solexa_100304_HWUSI-EAS1621_614KB_HUEBNER,solexa_100304_HWUSI-EAS16.1
solexa_100311_HWI-EAS244_61CG4_RAJEWSKY-CHEN,solexa_100311_HWI-EAS244_.1
solexa_100315_HWI-EAS244_61BED_RAJEWSKY-CHEN,solexa_100315_HWI-EAS244_.1
solexa_100318_HWUSI-EAS1620_0003,solexa_100318_HWUSI-EAS16.1
solexa_100319_HWI-EAS244_61C3G_CHEN,solexa_100319_HWI-EAS244_.1
solexa_100326_HWUSI-EAS1620_613PV_CHEN,solexa_100326_HWUSI-EAS16.1
solexa_100408_HWUSI-EAS1620_0001_61C55_CHEN_BJoeRN,solexa_100408_HWUSI-EAS16.1
solexa_100409_HWI-EAS244_0001_61C63_CHEN,solexa_100409_HWI-EAS244_.1
solexa_100413_HWI-EAS244_0002_613TC_CHEN,solexa_100413_HWI-EAS244_.1
solexa_100413_HWUSI-EAS1620_0002_614JF_HUEBNER,solexa_100413_HWUSI-EAS16.1
solexa_100415_HWUSI-EAS1621_0001_61C5N_CHEN,solexa_100415_HWUSI-EAS16.1
solexa_100416_HWI-EAS244_0001_432HD_WANKER,solexa_100416_HWI-EAS244_.1
solexa_100423_HWUSI-EAS1620_0003_61C4P_CHEN,solexa_100423_HWUSI-EAS16.1
solexa_100426_HWI-EAS244_0003_61C77_CHEN,solexa_100426_HWI-EAS244_.1
